deploy_id,leg,date_start,date_stop,time_start,time_stop,moonAlt,moonAz,moonHor,disc_id,depth (m),fish_vial,fish_age (dph),bin_id,batch_id,fish_id,lat_start,lon_start,lat_stop,lon_stop,sky,sea,wind_dir,wind_speed,tide,location,Location_Conservative,start_wp,end_wp,drift_direction,drift_distance,In_Behavior,Out_Behavior,cam_OK,comments,larvae_ok,Success,status,tracking_notes,,
276,2016-07-28-1,7/28/2016,7/28/2016,10:40:00,11:00:00,38,276,TRUE,B,18,6,20,4,50,276,16'49.830,88'04.104,16'50.018,88'04.080,mixed,3,90,3,ebb,far,far*,253,254,7,350,4,3,y,larva 10:39,,,,,,
277,2016-07-28-2,7/28/2016,7/28/2016,13:52:00,14:12:00,-5,287,FALSE,A,18,4,22,9,47,277,16'49.117,88'04.321,16'49.337,88'04.319,mixed,2,80,3,flood,near,near,256,257,1,406,5,5,y,larva 1346, drop 1347,,,,,
278,2016-07-28-2,7/28/2016,7/28/2016,13:52:00,14:12:00,-5,287,FALSE,B,18,1,22,9,47,278,16'49.117,88'04.321,16'49.337,88'04.319,mixed,2,80,3,flood,near,near,256,257,1,406,4,4,y,larva 1351,,,,,,
279,2016-07-28-2,7/28/2016,7/28/2016,14:37:00,14:57:00,-15,291,FALSE,A,18,9,22,9,47,279,16'49.533,88'04.287,16'49.772,88'04.292,clear,2,80,3,flood,near,near,258,259,359,441,5,0,y,larva 1420, drop 1421, got sqished in chamber lid and deployment migth be OK for most of duration,,,,
280,2016-07-28-2,7/28/2016,7/28/2016,14:37:00,14:57:00,-15,291,FALSE,B,18,6,22,9,47,280,16'49.533,88'04.287,16'49.772,88'04.292,clear,2,80,3,flood,near,near,258,259,359,441,5,5,y,larva 1436,,,,,,
281,2016-07-28-2,7/28/2016,7/28/2016,15:24:00,15:44:00,-25,296,FALSE,A,18,43,22,9,47,281,16'49.984,88'04.265,16'50.175,88'04.244,mixed,2,60,3,flood,near,near*,260,261,5,355,5,5,y,larva 1511, larva 1513,,,,,
282,2016-07-28-2,7/28/2016,7/28/2016,15:24:00,15:44:00,-25,296,FALSE,B,18,12,22,9,47,282,16'49.984,88'04.265,16'50.175,88'04.244,mixed,2,60,3,flood,near,near*,260,261,5,355,4,5,y,larva 1523,,,,,,
283,2016-07-28-2,7/28/2016,7/28/2016,16:42:00,17:02:00,-40,308,FALSE,A,18,5,22,9,47,283,16'49.234,88'04.383,16'49.368,88'04.376,mixed,2,90,3,flood,near,near,262,263,4,246,4,3,y,larva 1628, drop 1629,,,,,
284,2016-07-28-2,7/28/2016,7/28/2016,16:42:00,17:02:00,-40,308,FALSE,B,18,2,22,9,47,284,16'49.234,88'04.383,16'49.368,88'04.376,mixed,2,90,3,flood,near,near,262,263,4,246,2,3,y,larva 1640,,,,,,
285,7/29/2016,7/29/2016,7/29/2016,7:56:00,8:16:00,N/A,N/A,N/A,A,9,4,20,17,52,285,16'49.054,88'04.349,16'49.126,88'04.356,mixed,4,100,3,ebb,near,near,2631,264,354,125,4,4,y,larva 7:52,,,,,,
286,7/29/2016,7/29/2016,7/29/2016,7:56:00,8:16:00,N/A,N/A,N/A,B,9,9,20,17,52,286,16'49.054,88'04.349,16'49.126,88'04.356,mixed,4,100,3,ebb,near,near,2631,264,354,125,4,5,y,,,,,,,
287,7/29/2016,7/29/2016,7/29/2016,8:30:00,8:50:00,82,272,TRUE,A,9,12,20,17,52,287,16'49.195,88'04.376,16'49.272,88'04.388,mixed,4,90,3,ebb,near,near,265,266,351,142,5,5,y,larva 822,,,,,,
288,7/29/2016,7/29/2016,7/29/2016,8:30:00,8:50:00,82,272,TRUE,B,9,2,20,17,52,288,16'49.195,88'04.376,16'49.272,88'04.388,mixed,4,90,3,ebb,near,near,265,266,351,142,5,5,y,,,,,,,
289,7/29/2016,7/29/2016,7/29/2016,9:05:00,9:25:00,74,273,TRUE,A,18,5,20,17,52,289,16'49.359,88'04.399,16'49.415,88'04.421,mixed,4,100,3,ebb,near,near,267,268,338,109,5,0,y,larva 857, drop 858,,,,,
290,7/29/2016,7/29/2016,7/29/2016,9:05:00,9:25:00,74,273,TRUE,B,18,8,20,17,52,290,16'49.359,88'04.399,16'49.415,88'04.421,mixed,4,100,3,ebb,near,near,267,268,338,109,5,0,y,larva 903,,,,,,
291,7/29/2016,7/29/2016,7/29/2016,9:52:00,10:12:00,63,275,TRUE,A,18,6,20,17,52,291,16'49.569,88'04.420,16'49.622,88'04.422,mixed,4,70,3,ebb,near,near,269,270,357,99,5,4,y,larva 939, drop 940,,,,,
292,7/29/2016,7/29/2016,7/29/2016,9:52:00,10:12:00,63,275,TRUE,B,18,1,20,17,52,292,16'49.569,88'04.420,16'49.622,88'04.422,mixed,4,70,3,ebb,near,near,269,270,357,99,5,4,y,larva 950,,,,,,
293,7/30/2016,7/30/2016,7/30/2016,9:40:00,10:00:00,79,279,TRUE,A,18,1,18,19,65,293,16'49.133,88'04.210,16'49.221,88'04.195,mixed,4,90,4,ebb,far,far,2691,2701,9,163,5,5,y,,,,,,,
294,7/30/2016,7/30/2016,7/30/2016,9:40:00,10:00:00,79,279,TRUE,B,18,31,22,4,50,294,16'49.133,88'04.210,16'49.221,88'04.195,mixed,4,90,4,ebb,far,far,2691,2701,9,163,5,5,y,,,,,,,
295,7/31/2016,7/31/2016,7/31/2016,7:58:00,8:18:00,64,83,TRUE,A,18,9,20,20,62,295,16'49.148,88'04.120,16'49.257,88'04.158,mixed,2,90,2,ebb,far,far,2702,271,341,211,5,5,y,larva 750, drop 751,,,,,
296,7/31/2016,7/31/2016,7/31/2016,7:58:00,8:18:00,64,83,TRUE,B,18,1,20,20,62,296,16'49.148,88'04.120,16'49.257,88'04.158,mixed,2,90,2,ebb,far,far,2702,271,341,211,5,4,y,larva 756,,,,,,
297,7/31/2016,7/31/2016,7/31/2016,8:34:00,8:54:00,72,82,TRUE,A,18,3,20,20,62,297,16'49.338,88'04.148,16'49.450,88'04.196,light clouds,2,100,2,ebb,far,far,272,273,337,225,5,1,y,larva 828, drop 828,,,,,
298,7/31/2016,7/31/2016,7/31/2016,8:34:00,8:54:00,72,82,TRUE,B,18,2,20,20,62,298,16'49.338,88'04.148,16'49.450,88'04.196,light clouds,2,100,2,ebb,far,far,272,273,337,225,5,4,y,larva 833,,,,,,
299,7/31/2016,7/31/2016,7/31/2016,9:36:00,9:56:00,86,65,TRUE,A,18,6,20,20,62,299,16'49.106,88'04'.333,16'49.212,88'04.377,light clouds,2,90,2,ebb,near,near,274,275,338,209,5,4,y,larva 930, drop 931,,,,,
300,7/31/2016,7/31/2016,7/31/2016,9:36:00,9:56:00,86,65,TRUE,B,18,6,20,20,62,300,16'49.106,88'04'.333,16'49.212,88'04.377,light clouds,2,90,2,ebb,near,near,274,275,338,209,5,4,n,larva 935, camera found turned off when we recovered the larvae,,,,,
301,7/31/2016,7/31/2016,7/31/2016,10:24:00,10:44:00,82,282,TRUE,A,18,7,20,20,62,301,16'49.380,88'04.388,16'49.467,88'04.437,mixed,2,90,2,ebb,near,near,276,277,331,180,5,4,y,larva 1005, drop 1006,,,,,
302,7/31/2016,7/31/2016,7/31/2016,10:24:00,10:44:00,82,282,TRUE,B,18,5,20,20,62,302,16'49.380,88'04.388,16'49.467,88'04.437,mixed,2,90,2,ebb,near,near,276,277,331,180,4,4,y,new camera for this deployment,,,,,,
303,7/31/2016,7/31/2016,7/31/2016,11:09:00,11:29:00,72,277,TRUE,A,18,8,20,20,62,303,16'49.555,88'04.388,16'49.662,88'04.439,clear,2,90,2,ebb,near,near,278,279,335,217,5,5,y,larva 1055, drop 1057,,,,,
304,7/31/2016,7/31/2016,7/31/2016,11:09:00,11:29:00,72,277,TRUE,B,18,50,20,15,61,304,16'49.555,88'04.388,16'49.662,88'04.439,clear,2,90,2,ebb,near,near,278,279,335,217,5,5,y,larva 1107,,,,,,
305,8/1/2016,8/1/2016,8/1/2016,8:59:00,9:19:00,65,85,TRUE,A,18,11,22,13,60,305,16'49.040,88'04.072,16'49.141,88'04.092,light clouds,2,100,2,ebb,far,far,280,281,349,188,5,5,y,larva 845, drop 850,,,,,
306,8/1/2016,8/1/2016,8/1/2016,8:59:00,9:19:00,65,85,TRUE,B,18,8,22,13,60,306,16'49.040,88'04.072,16'49.141,88'04.092,light clouds,2,100,2,ebb,far,far,280,281,349,188,5,3,y,larva 858,,,,,,
307,8/1/2016,8/1/2016,8/1/2016,9:38:00,9:58:00,74,86,TRUE,A,18,50,22,13,60,307,16'49.221,88'04.098,16'49.221,88'04.127,light clouds,2,100,2,ebb,far,far,282,283,347,249,5,3,y,larva 928, drop 929,,,,,
308,8/1/2016,8/1/2016,8/1/2016,9:38:00,9:58:00,74,86,TRUE,B,18,9,22,13,60,308,16'49.221,88'04.098,16'49.221,88'04.127,light clouds,2,100,2,ebb,far,far,282,283,347,249,5,5,y,larva 936,,,,,,
309,8/1/2016,8/1/2016,8/1/2016,10:25:00,10:45:00,84,85,TRUE,A,18,43,22,13,60,309,16'49.488,88'04.086,16'49.625,88'04.125,light clouds,2,100,2,ebb,far,far,284,285,344,259,5,5,y,larva 1007, drop 1009,,,,,
310,8/1/2016,8/1/2016,8/1/2016,10:25:00,10:45:00,84,85,TRUE,B,18,5,22,13,60,310,16'49.488,88'04.086,16'49.625,88'04.125,light clouds,2,100,2,ebb,far,far,284,285,344,259,5,5,y,larva1023,,,,,,
311,8/2/2016,8/2/2016,8/2/2016,6:19:00,6:39:00,16,78,TRUE,A,18,11,24,17,52,311,16'48.956,88'04.314,16'49.073,88'04.286,mixed,2,330,4,ebb,far,far*,287,288,14,211,5,0,y,larva 613, drop 615,,,,,
312,8/2/2016,8/2/2016,8/2/2016,6:19:00,6:39:00,16,78,TRUE,B,18,21,24,17,52,312,16'48.956,88'04.214,16'49.073,88'04.286,mixed,2,330,4,ebb,far,far*,287,288,14,211,5,1,y,larva 618,,,,,,
313,8/2/2016,8/2/2016,8/2/2016,7:18:00,7:38:00,29,81,TRUE,A,18,6,24,17,52,313,16'48.860,88'04.2249,16'48.953,88'04.324,light clouds,2,330,4,ebb,far,far,289,290,15,176,5,4,y,larav 711, drop 713, redeployed beforehand,,,,
314,8/2/2016,8/2/2016,8/2/2016,7:18:00,7:38:00,29,81,TRUE,B,18,7,24,17,52,314,16'48.860,88'04.249,16'48.953,88'04.324,light clouds,2,330,4,ebb,far,far,289,290,15,176,5,5,y,larva 717, redeployed beforehand,,,,,
315,8/2/2016,8/2/2016,8/2/2016,8:21:00,8:41:00,43,85,TRUE,A,18,5,24,17,52,315,16'48.874,88'04.224,16'48.952,88'04.202,light clouds,2,340,4,ebb,far,far,291,292,15,151,5,5,y,larva 812, drop 813, redeployed beforehand,,,,
316,8/2/2016,8/2/2016,8/2/2016,8:21:00,8:41:00,43,85,TRUE,B,18,7,24,17,52,316,16'48.874,88'04.224,16'48.952,88'04.302,light clouds,2,340,4,ebb,far,far,291,292,15,151,5,5,y,larva 819, redeployed beforehand,,,,,
317,8/7/2016,8/7/2016,8/7/2016,15:25:00,15:45:00,69,175,TRUE,A,18,8,12,3,67,317,16'49.009,88'04.260,16'49.025,88'04.273,mixed,2,90,2,ebb,near,near,293,294,322,38,5,5,y,larva 1523,,,,,,
318,8/9/2016,8/9/2016,8/9/2016,6:13:00,6:33:00,-67,73,FALSE,A,18,21,12,21,71,318,16'49.176,88'04.450,16'49.166,88'04.471,mixed,3,100,2,ebb,near,near,2941,295,247,40,5,5,y,larva 559, larva 606,,,,,
319,8/9/2016,8/9/2016,8/9/2016,6:13:00,6:33:00,-67,73,FALSE,B,18,4,12,21,71,319,16'49.176,88'04.450,16'49.166,88'04.471,mixed,3,100,2,ebb,near,near,2941,295,247,40,5,5,y,larva 6111,,,,,,
320,8/9/2016,8/9/2016,8/9/2016,7:09:00,7:29:00,-54,82,FALSE,A,18,6,12,21,71,320,16'49.345,88'04.491,16'49.360,88'04.505,mixed,3,100,2,ebb,near,near,296,297,248,27,4,3,y,larva 646, drop 648, camera may have foggy but was cleaned after this deploy,,,,
321,8/9/2016,8/9/2016,8/9/2016,7:09:00,7:29:00,-54,82,FALSE,B,18,2,12,21,71,321,16'49.345,88'04.491,16'49.360,88'04.505,mixed,3,100,2,ebb,near,near,296,297,248,27,3,2,y,larva 708, school of tuna by DISC,,,,,
322,8/9/2016,8/9/2016,8/9/2016,8:36:00,8:56:00,-34,90,FALSE,A,18,7,12,21,71,322,16'49.301,88'04.374,16'49.349,88'04.395,clear,4,90,4,flood,near,near,298,299,358,88,2,2,y,larva 828, drop 829,,,,,
323,8/9/2016,8/9/2016,8/9/2016,8:36:00,8:56:00,-34,90,FALSE,B,18,43,12,21,71,323,16'49.301,88'04.374,16'49.349,88'04.395,clear,4,90,4,flood,near,near,298,299,358,88,2,2,y,larva 834,,,,,,
324,8/10/2016,8/10/2016,8/10/2016,17:02:00,17:22:00,58,161,TRUE,A,18,2,12,9,72,324,16'49.131,88'04.408,16'49.142,88'04.401,clear,4,40,4,ebb,near,near,300,301,31,24,4,5,y,larva 1650, drop 1652,,,,,
325,8/10/2016,8/10/2016,8/10/2016,17:02:00,17:22:00,58,161,TRUE,B,18,7,12,9,72,325,16'49.131,88'04.408,16'49.142,88'04.401,clear,4,40,4,ebb,near,near,300,301,31,24,5,x,y,larva 1700, larva escaped but might have been good deployment,,,,,
326,8/14/2016,8/14/2016,8/14/2016,9:03:00,9:23:00,-83,104,FALSE,A,18,4,2,17,76,326,16'49.099,88'04.348,16'49.093,88'04.314,mixed,2,90,1,ebb,near,near,301,302,102,62,4,x,y,larva 854, drop 856, missing larva!,,,,
327,8/14/2016,8/14/2016,8/14/2016,9:03:00,9:23:00,-83,104,FALSE,B,18,12,2,17,76,327,16'49.099,88'04.348,16'49.093,88'04.314,mixed,2,90,1,ebb,near,near,301,302,102,62,5,0,y,larva 902,,,,,,
328,8/14/2016,8/14/2016,8/14/2016,10:13:00,10:33:00,-67,97,FALSE,A,18,60,2,17,76,328,16'48.998,88'04.476,16'48.941,88'04.488,mixed,2,90,0,ebb,near,near,303,304,192,118,4,4,y,larva 1006, drop 1013, attempted a double drop since DISCs were close, start of a redeploy,,,
329,8/14/2016,8/14/2016,8/14/2016,10:13:00,10:33:00,-67,97,FALSE,B,18,2,2,17,76,329,16'48.998,88'04.476,16'48.941,88'04.488,mixed,2,90,0,ebb,near,near,303,304,192,118,5,5,y,larva 1010, drop 1012, attempted a double drop since DISCs were close, start of a redeploy,,,
330,8/14/2016,8/14/2016,8/14/2016,10:58:00,11:18:00,-57,98,FALSE,A,18,50,2,17,76,330,16'49.011,88'04.494,16'49.123,88'04.498,mixed,2,90,1,ebb,near,near,305,306,x,x,5,5,y,larva 1050, drop 1053, gps points look weird,,,,
331,8/14/2016,8/14/2016,8/14/2016,10:58:00,11:18:00,-57,98,FALSE,B,18,17,2,17,76,331,16'49.011,88'04.494,16'49.123,88'04.498,mixed,2,90,1,ebb,near,near,305,306,x,x,5,5,y,larva 1056, drop 1058, gps points look word,,,,
332,8/14/2016,8/14/2016,8/14/2016,11:47:00,12:07:00,-46,99,FALSE,A,18,3,2,17,76,332,16'49.093,88'04.501,16'49.077,88'04.507,clear,2,90,1,ebb,near,near,307,308,196,33,5,5,y,larva 1141, drop 1146, another double drop,,,,
333,8/14/2016,8/14/2016,8/14/2016,11:47:00,12:07:00,-46,99,FALSE,B,18,43,2,17,76,333,16'49.093,88'04.501,16'49.077,88'04.507,clear,2,90,1,ebb,near,near,307,308,196,33,5,5,y,larva 1144, drop 1147, another double-drop,,,,
334,2016-08-15-1,8/15/2016,8/15/2016,8:52:00,9:12:00,-83,261,FALSE,A,18,3,2,16,79,334,16'49.040,88'04.443,16'49.027,88'04.436,mixed,3,90,1,ebb,near,near,3081,309,153,27,4,5,y,larva 841, drop 852,,,,,
335,2016-08-15-1,8/15/2016,8/15/2016,8:52:00,9:12:00,-83,261,FALSE,B,18,21,2,16,79,335,16'49.040,88'04.443,16'49.027,88'04.436,mixed,3,90,1,ebb,near,near,3081,309,153,27,5,x,y,larva 849, drop 851, larva escaped!,,,,
336,2016-08-15-1,8/15/2016,8/15/2016,9:54:00,10:14:00,-83,99,FALSE,A,18,1,2,16,79,336,16'49.033,88'04.432,16'48.990,88'04.448,mixed,3,90,1,ebb,near,near,310,311,200,86,5,0,y,larva 929, drop 932, dead larva, larva in chamber very cold when raised ,,,
337,2016-08-15-1,8/15/2016,8/15/2016,9:54:00,10:14:00,-83,99,FALSE,B,18,43,2,16,79,337,16'49.033,88'04.432,16'48.990,88'04.448,mixed,3,90,1,ebb,near,near,310,311,200,86,4,5,y,larva 952, drop 954, water in chamber very cold when raised,,,,
338,2016-08-15-1,8/15/2016,8/15/2016,10:40:00,11:00:00,-73,96,FALSE,A,18,31,2,16,79,338,16'49.005,88'04.475,16'48.973,88'04.495,mixed,2,90,1,ebb,near,near,312,313,211,71,5,x,n,larva 1053, drop 1040, larva escaped, camera battery low!,,,
339,2016-08-15-1,8/15/2016,8/15/2016,10:40:00,11:00:00,-73,96,FALSE,B,18,12,2,16,79,339,16'49.005,88'04.475,16'48.973,88'04.495,mixed,2,90,1,ebb,near,near,312,313,211,71,5,x,n,larva 1038, drop 1040, larva escaped, camera battery low!,,,
340,2016-08-15-2,8/15/2016,8/15/2016,11:36:00,11:56:00,-60,96,FALSE,B,18,50,2,16,79,340,16'49.010,88'04.518,wp315,,light clouds,3,90,1,ebb,near,near,314,315,159,7,4,5,n,larva 1122, drop 1136, new camera but SD card filled up, dive boat around,,,
341,2016-08-15-2,8/15/2016,8/15/2016,11:36:00,11:56:00,-60,96,FALSE,A,18,7,2,16,79,341,16'49.010,88'04.518,wp315,,light clouds,3,90,1,ebb,near,near,314,315,159,7,5,5,n,larva 1132, drop 1136, new camera but turned off in water, dive boat around,,,
342,8/16/2016,8/16/2016,8/16/2016,8:59:00,9:19:00,-72,269,FALSE,A,18,43,4,17,76,342,16'48.811,88'04.477,16'48.726,88'04.489,mixed,4,90,3,ebb,near,near,3151,317,188,160,3,2,y,larva 855, drop 859, seemed irritated,,,,
343,8/16/2016,8/16/2016,8/16/2016,8:59:00,9:19:00,-72,269,FALSE,B,18,12,4,17,76,343,16'48.811,88'04.477,16'48.726,88'04.489,mixed,4,90,3,ebb,near,near,3151,317,188,160,5,5,y,larva 857,,,,,,
344,8/16/2016,8/16/2016,8/16/2016,9:41:00,10:01:00,-82,273,FALSE,A,18,21,4,17,76,344,16'48.612,88'04.491,16'48.504,88'04.519,mixed,4,90,3,ebb,near,near,318,319,193,208,5,5,y,larva 931, drop 941,,,,,
345,8/16/2016,8/16/2016,8/16/2016,9:41:00,10:01:00,-82,273,FALSE,B,18,3,4,17,76,345,16'48.612,88'04.491,16'48.504,88'04.519,mixed,4,90,3,ebb,near,near,318,319,193,208,4,1,y,larva 938, drop 941,,,,,
346,8/16/2016,8/16/2016,8/16/2016,10:24:00,10:44:00,-88,68,FALSE,A,18,1,4,17,76,346,16'48.370,88'04.528,16'48.311,88'04.564,mixed,4,90,3,ebb,near,near,320,321,210,131,4,3,y,larva 1018, drop 1024, seemed irritated,,,,
347,8/16/2016,8/16/2016,8/16/2016,10:24:00,10:44:00,-88,68,FALSE,B,18,11,4,17,76,347,16'48.370,88'04.528,16'48.311,88'04.564,mixed,4,90,3,ebb,near,near,320,321,210,131,3,x,y,larva 1021, seemed irritated, missing at end, redeployed and change camera on disc B,,,
348,8/16/2016,8/16/2016,8/16/2016,11:40:00,12:00:00,-71,90,FALSE,A,18,2,4,17,76,348,16'48.876,88'04.434,16'48.776,88'04.465,mixed,4,90,3,ebb,near,near,322,323,196,195,5,5,y,larva 1131, drop 1133,,,,,
349,2016-08-16-2,8/16/2016,8/16/2016,11:40:00,12:00:00,-71,90,FALSE,B,18,6,4,17,76,349,16'48.876,88'04.434,16'48.776,88'04.465,mixed,4,90,3,ebb,near,near,322,323,196,195,5,5,y,larva 1138, new cam,,,,,
350,8/16/2016,8/16/2016,8/16/2016,12:46:00,13:06:00,-56,94,FALSE,A,18,4,4,17,76,350,16'48.631,88'04.486,wp325,,light clouds,4,90,3,ebb,near,near,324,325,197,151,4,5,y,larva 1221, drop 1223,,,,,
351,2016-08-16-2,8/16/2016,8/16/2016,12:46:00,13:06:00,-56,94,FALSE,B,18,4,4,17,76,351,16'48.631,88'04.486,wp325,,light clouds,4,90,3,ebb,near,near,324,325,197,151,5,5,y,larva 1244, drop 1246,,,,,
352,8/17/2016,8/17/2016,8/17/2016,9:30:00,9:50:00,-67,274,FALSE,A,18,43,2,19,81,352,16'48.891,88'04.413,16'48.753,88'04.432,light clouds,4,90,4,ebb,near,near,326,327,186,260,4,4,y,larva 922, drop 930,,,,,
353,8/17/2016,8/17/2016,8/17/2016,9:30:00,9:50:00,-67,274,FALSE,B,18,31,2,19,81,353,16'48.891,88'04.413,16'48.753,88'04.432,light clouds,4,90,4,ebb,near,near,326,327,186,260,4,4,y,larva 928, drop 930,,,,,
354,8/17/2016,8/17/2016,8/17/2016,10:24:00,10:44:00,-79,285,FALSE,A,18,60,2,19,81,354,16'48.417,88'04.480,16'48.302,88'04.482,cloudy,4,90,4,ebb,near,near,328,329,180,220,4,5,y,larva 1021, drop 1024,,,,,
355,8/17/2016,8/17/2016,8/17/2016,10:24:00,10:44:00,-79,285,FALSE,B,18,17,2,19,81,355,16'48.417,88'04.480,16'48.302,88'04.482,cloudy,4,90,4,ebb,near,near,328,329,180,220,4,4,y,,,,,,,
356,2016-08-18-1,8/18/2016,8/18/2016,9:17:00,9:37:00,-51,274,FALSE,A,18,4,6,17,76,356,16'48.933,88'04.475,16'48.827,88'04.485,clear,3,60,3,ebb,near,near,330,331,186,201,5,5,y,larva 908, drop 917,,,,,
357,2016-08-18-1,8/18/2016,8/18/2016,9:17:00,9:37:00,-51,274,FALSE,B,18,5,6,17,76,357,16'48.933,88'04.475,16'48.827,88'04.485,clear,3,60,3,ebb,near,near,330,331,186,201,5,5,y,larav 914, drop 917,,,,,
358,2016-08-18-1,8/18/2016,8/18/2016,10:02:00,10:22:00,-61,279,FALSE,A,18,12,6,17,76,358,16'48.668,88'04.467,16'48.556,88'04.480,clear,3,80,3,ebb,near,near,332,333,186,216,5,5,y,larva 951, drop 1002,,,,,
359,2016-08-18-1,8/18/2016,8/18/2016,10:02:00,10:22:00,-61,279,FALSE,B,18,31,6,17,76,359,16'48.668,88'04.467,16'48.556,88'04.480,clear,3,80,3,ebb,near,near,332,333,186,216,5,5,y,larva 958, drop 1002,,,,,
360,2016-08-18-1,8/18/2016,8/18/2016,10:48:00,11:08:00,-71,288,FALSE,A,18,3,6,17,76,360,16'48.395,88'04.449,16'48.300,88'04.443,clear,3,90,3,ebb,near,near,334,335,177,179,5,5,y,larva 1038, drop 1048,,,,,
361,2016-08-18-1,8/18/2016,8/18/2016,10:48:00,11:08:00,-71,288,FALSE,B,18,60,6,17,76,361,16'48.395,88'04.449,16'48.300,88'04.443,clear,3,90,3,ebb,near,near,334,335,177,179,5,5,y,larva 1046, drop 1048,,,,,
362,2016-08-18-1,8/18/2016,8/18/2016,11:37:00,11:57:00,-81,318,FALSE,A,18,5,6,17,76,362,16'48.126,88'04.429,16'47.991,88'04.430,mixed,3,90,3,ebb,near,near,336,337,180,251,5,5,y,larva 1134, drop 1137,,,,,
363,2016-08-18-1,8/18/2016,8/18/2016,11:37:00,11:57:00,-81,318,FALSE,B,18,7,6,17,76,363,16'48.126,88'04.429,16'47.991,88'04.430,mixed,3,90,3,ebb,near,near,336,337,280,251,5,5,y,larva 1127, drop 1137,,,,,
364,2016-08-18-2,8/18/2016,8/18/2016,13:24:00,13:44:00,-70,72,FALSE,A,18,6,4,20,80,364,16'48.891,88'04.453,16'48.787,88'04.474,mixed,2,90,3,ebb,near,near,338,339,189,195,5,5,y,larva 1317, drop 1324,,,,,
365,2016-08-18-2,8/18/2016,8/18/2016,13:24:00,13:44:00,-70,72,FALSE,B,18,17,4,20,80,365,16'48.891,88'04.453,16'48.787,88'04.474,mixed,2,90,3,ebb,near,near,338,339,189,195,5,5,y,larva 1321, drop 1324,,,,,
366,2016-08-18-2,8/18/2016,8/18/2016,14:12:00,14:32:00,-59,81,FALSE,A,18,4,4,20,80,366,16'48.613,88'04.478,16'48.516,88'04.487,mixed,2,90,3,ebb,near,near,340,341,185,184,5,5,y,,,,,,,
367,2016-08-18-2,8/18/2016,8/18/2016,14:12:00,14:32:00,-59,81,FALSE,B,18,5,4,20,80,367,16'48.613,88'04.478,16'48.516,88'04.487,mixed,2,90,3,ebb,near,near,340,341,185,184,5,4,y,,,,,,,
368,8/19/2016,8/19/2016,8/19/2016,9:30:00,9:50:00,-41,276,FALSE,A,18,4,6,21,78,x,16'49.096,88'04.456,16'49.035,88'04.462,mixed,3,70,2,ebb,near,near,3411,342,186,112,3,4,5,5,5,4,4,2,y,pics
369,8/19/2016,8/19/2016,8/19/2016,9:30:00,9:50:00,-41,276,FALSE,B,18,21,6,21,78,x,16'49.096,88'04.456,16'49.035,88'04.462,mixed,3,70,2,ebb,near,near,3411,342,186,112,3,3,4,5,5,4,4,2,y,pics
370,8/19/2016,8/19/2016,8/19/2016,10:30:00,10:50:00,-55,283,FALSE,B,18,6,6,21,78,x,16'48.896,88'04.503,16'48.845,88'04.516,cloudy,2,70,2,ebb,near,near,343,344,191,100,5,5,5,4,5,5,5,4,y,video
371,8/19/2016,8/19/2016,8/19/2016,10:30:00,10:50:00,-55,283,FALSE,A,18,2,6,21,78,x,16'48.896,88'04.503,16'48.845,88'04.516,cloudy,2,70,2,ebb,near,near,343,344,191,100,5,5,4,2,5,5,4,2,y,video
